Results File Name,MAPD,ndSNPQC,ndWavinessSD,CelPairCheckStatus,Low Diploid Flag,% Aberr. Cells,TuScan Ploidy,Q3 Raw Intensity_AT,Q3 Raw Intensity_GC,AGR_AT
FUSCCTNBC001_.OSCHP,0.256328,29.335959,0.123591,Pass,No,35,3,2160,1934,0.0199074
FUSCCTNBC002_.OSCHP,0.250695,35.378394,0.0957556,Pass,No,NA,NA,2301,1899,0.0234681
FUSCCTNBC004_.OSCHP,0.250465,34.64668,0.12672,Pass,No,NA,NA,1854,1629,0.0242718
FUSCCTNBC005_.OSCHP,0.255019,32.127238,0.134454,Pass,No,homogeneous,2,1937,1897,0.0237481
FUSCCTNBC006_.OSCHP,0.227408,32.140736,0.10403,Pass,No,NA,NA,2027,1948,0.0222003
FUSCCTNBC007_.OSCHP,0.255884,33.387676,0.148081,Pass,No,45,2,2202,2068,0.0186194
FUSCCTNBC008_.OSCHP,0.207992,41.210093,0.080743,Pass,No,homogeneous,2,3028,2647,0.015852
FUSCCTNBC009_.OSCHP,0.260605,34.34688,0.148925,Pass,No,NA,NA,2074,1955,0.0216972
FUSCCTNBC010_.OSCHP,0.248872,35.540249,0.117558,Pass,No,85,2,1994,1863,0.0240722
FUSCCTNBC011_.OSCHP,0.243613,36.222073,0.110605,Pass,No,homogeneous,2,1999,1974,0.0230115
FUSCCTNBC012_.OSCHP,0.245741,35.117175,0.113783,Pass,No,60,2,2030,2008,0.0236453
FUSCCTNBC013_.OSCHP,0.249016,30.879263,0.085182,Pass,No,homogeneous,2,1723,1740,0.0261172
FUSCCTNBC015_.OSCHP,0.263612,37.51791,0.101305,Pass,No,45,2,1862,2188,0.0241676
FUSCCTNBC016_.OSCHP,0.280467,34.670305,0.158318,Pass,No,40,3,1901,2023,0.0194634
FUSCCTNBC017_.OSCHP,0.257669,33.950784,0.107061,Pass,No,25,2,2003,2097,0.0229656
FUSCCTNBC018_.OSCHP,0.259235,32.545912,0.0988426,Pass,No,homogeneous,2,1969,2115,0.0248857
FUSCCTNBC019_.OSCHP,0.258413,33.042887,0.12906,Pass,No,45,3,1855,2135,0.0237197
FUSCCTNBC021_.OSCHP,0.246018,31.851475,0.135946,Pass,No,30,2,1991,2075,0.023104
FUSCCTNBC022_.OSCHP,0.240614,34.752337,0.122994,Pass,No,55,1,2181,2248,0.0215497
FUSCCTNBC023_.OSCHP,0.277198,15.13728,0.240141,Pass,No,NA,NA,2169,2182,0.021669
FUSCCTNBC024_.OSCHP,0.26468,33.107106,0.137127,Pass,No,80,2,2083,2152,0.0230437
FUSCCTNBC025_.OSCHP,0.201437,35.682332,0.0806756,Pass,No,NA,NA,2611,2246,0.0187668
FUSCCTNBC026_.OSCHP,0.29096,36.954222,0.0945725,Pass,No,homogeneous,2,2862,2581,0.0146751
FUSCCTNBC027_.OSCHP,0.243222,37.323213,0.0894699,Pass,No,35,2,2058,2155,0.0223518
FUSCCTNBC028_.OSCHP,0.215451,39.648205,0.109788,Pass,No,35,2,1981,2764,0.0201918
FUSCCTNBC029_.OSCHP,0.217705,30.50831,0.134849,Pass,No,NA,NA,2103,2357,0.0228245
FUSCCTNBC030_.OSCHP,0.23403,41.870846,0.120628,Pass,No,50,3,2405,2614,0.0203742
FUSCCTNBC031_.OSCHP,0.23604,39.642614,0.0954289,Pass,No,NA,NA,2566,2566,0.0194856
FUSCCTNBC032_.OSCHP,0.239978,35.098321,0.124447,Pass,No,NA,NA,2143,2356,0.0219319
FUSCCTNBC033_.OSCHP,0.22531,38.597852,0.112046,Pass,No,50,4,2447,2492,0.0196159
FUSCCTNBC034_.OSCHP,0.198506,35.910444,0.0901818,Pass,No,35,2,2656,2337,0.0199548
FUSCCTNBC036_.OSCHP,0.22723,37.274123,0.118469,Pass,No,65,3,2372,2270,0.0202361
FUSCCTNBC037_.OSCHP,0.222726,39.007626,0.0926037,Pass,No,NA,NA,2432,2579,0.020148
FUSCCTNBC038_.OSCHP,0.218355,43.945728,0.0941546,Pass,No,45,2,2583,2313,0.0181959
FUSCCTNBC039_.OSCHP,0.217158,41.899978,0.0982794,Pass,No,65,1,2381,2420,0.0201596
FUSCCTNBC040_.OSCHP,0.245371,35.710834,0.154511,Pass,No,35,2,2413,2492,0.0198923
FUSCCTNBC044_.OSCHP,0.218175,35.376834,0.101539,Pass,No,NA,NA,2027,1971,0.0226936
FUSCCTNBC045_.OSCHP,0.217632,40.178357,0.108067,Pass,No,65,2,2163,2356,0.0208044
FUSCCTNBC046_.OSCHP,0.235168,36.662645,0.111898,Pass,No,45,3,1868,1992,0.0246253
FUSCCTNBC047_.OSCHP,0.237923,34.196076,0.173875,Pass,No,65,2,2058,2110,0.0174927
FUSCCTNBC048_.OSCHP,0.222565,39.598089,0.0977708,Pass,No,30,2,2122,1967,0.0212064
FUSCCTNBC049_.OSCHP,0.247939,37.574378,0.118168,Pass,No,50,2,1862,2056,0.0230934
FUSCCTNBC050_.OSCHP,0.269257,31.860259,0.0876705,Pass,No,NA,NA,2283,2387,0.0192729
FUSCCTNBC051_.OSCHP,0.233906,35.164331,0.13578,Pass,No,30,2,1899,2113,0.0231701
FUSCCTNBC052_.OSCHP,0.256706,30.694538,0.210363,Pass,No,NA,NA,1811,1825,0.0231916
FUSCCTNBC053_.OSCHP,0.245868,42.07244,0.0741131,Pass,No,40,2,2452,2409,0.0179445
FUSCCTNBC054_.OSCHP,0.254474,35.095085,0.112421,Pass,No,35,2,2342,2277,0.0196413
FUSCCTNBC055_.OSCHP,0.236426,38.380805,0.091686,Pass,No,25,3,2569,2551,0.0182951
FUSCCTNBC056_.OSCHP,0.205852,43.82652,0.0756474,Pass,No,homogeneous,2,2319,2636,0.0185425
FUSCCTNBC057_.OSCHP,0.239639,42.769618,0.1397,Pass,No,70,2,2549,2547,0.017654
FUSCCTNBC058_.OSCHP,0.281995,36.722525,0.130128,Pass,No,60,2,2759,2712,0.0137731
FUSCCTNBC059_.OSCHP,0.261624,39.665119,0.102455,Pass,No,40,3,2330,2585,0.02103
FUSCCTNBC060_.OSCHP,0.250209,40.947746,0.0896853,Pass,No,40,2,2658,2718,0.01693
FUSCCTNBC061_.OSCHP,0.264432,38.70342,0.122075,Pass,No,NA,NA,2363,2503,0.0186204
FUSCCTNBC063_.OSCHP,0.251834,43.186316,0.0776605,Pass,No,homogeneous,2,2696,2457,0.0170623
FUSCCTNBC064_.OSCHP,0.248243,36.891909,0.144872,Pass,No,NA,NA,2321,2002,0.0215424
FUSCCTNBC066_.OSCHP,0.22565,35.980598,0.111033,Pass,No,45,3,2256,2333,0.0212766
FUSCCTNBC068_.OSCHP,0.275074,33.5423,0.180901,Pass,No,NA,NA,2352,2442,0.0187075
FUSCCTNBC069_.OSCHP,0.265142,43.279929,0.0983199,Pass,No,35,2,2771,2669,0.0173223
FUSCCTNBC070_.OSCHP,0.215159,38.121403,0.103009,Pass,No,NA,NA,2245,2240,0.0213808
FUSCCTNBC072_.OSCHP,0.211962,40.62262,0.0875668,Pass,No,65,3,2371,2379,0.0185576
FUSCCTNBC073_.OSCHP,0.193632,41.345645,0.0862211,Pass,No,NA,NA,2262,2646,0.0221043
FUSCCTNBC074_.OSCHP,0.217537,37.238372,0.12158,Pass,No,NA,NA,1759,1686,0.0244457
FUSCCTNBC075_.OSCHP,0.226225,20.877705,0.189165,Pass,Yes,NA,NA,1372,1495,0.0291545
FUSCCTNBC076_.OSCHP,0.225396,40.646562,0.10689,Pass,No,NA,NA,2678,2468,0.0190441
FUSCCTNBC077_.OSCHP,0.208296,42.5408,0.073467,Pass,No,NA,NA,1725,1804,0.026087
FUSCCTNBC078_.OSCHP,0.235979,38.960505,0.0948722,Pass,No,35,2,1850,1804,0.0237838
FUSCCTNBC080_.OSCHP,0.23016,37.8556,0.0947935,Pass,No,homogeneous,2,2326,2360,0.0214961
FUSCCTNBC081_.OSCHP,0.213691,31.80163,0.111261,Pass,No,NA,NA,2253,2291,0.0213049
FUSCCTNBC082_.OSCHP,0.264029,35.849499,0.0746585,Pass,No,70,3,2601,3122,0.0184544
FUSCCTNBC083_.OSCHP,0.208927,45.130783,0.0990753,Pass,No,45,3,1697,1755,0.023571
FUSCCTNBC085_.OSCHP,0.242898,36.56226,0.130346,Pass,No,75,3,1581,1634,0.0265655
FUSCCTNBC086_.OSCHP,0.274075,40.547596,0.117068,Pass,No,70,3,2849,2909,0.017199
FUSCCTNBC087_.OSCHP,0.277106,34.817642,0.134487,Pass,No,NA,NA,2503,2792,0.0183779
FUSCCTNBC088_.OSCHP,0.243577,38.427868,0.0946771,Pass,No,30,2,1715,1632,0.0250729
FUSCCTNBC089_.OSCHP,0.226735,43.647619,0.0898194,Pass,No,40,3,2561,2713,0.0187427
FUSCCTNBC091_.OSCHP,0.265157,37.83209,0.111582,Pass,No,homogeneous,2,2720,3288,0.0176471
FUSCCTNBC092_.OSCHP,0.20939,37.095671,0.115695,Pass,No,NA,NA,1738,1671,0.0241657
FUSCCTNBC093_.OSCHP,0.266847,28.08795,0.14983,Pass,No,NA,NA,3166,3098,0.0167404
FUSCCTNBC094_.OSCHP,0.229506,40.455677,0.0633935,Pass,No,35,2,2232,2217,0.0219534
FUSCCTNBC097_.OSCHP,0.234296,40.420134,0.0799614,Pass,No,45,2,3184,3270,0.0166457
FUSCCTNBC098_.OSCHP,0.26831,36.215508,0.123448,Pass,No,70,2,3477,3939,0.0126546
FUSCCTNBC099_.OSCHP,0.221296,41.791212,0.103055,Pass,No,NA,NA,2545,2278,0.0168959
FUSCCTNBC100_.OSCHP,0.261343,35.744436,0.198522,Pass,No,70,2,3098,3394,0.012266
FUSCCTNBC101_.OSCHP,0.238509,40.812803,0.0863652,Pass,No,homogeneous,2,3415,3422,0.0152269
FUSCCTNBC102_.OSCHP,0.256952,41.181967,0.105594,Pass,No,25,3,3092,3264,0.0155239
FUSCCTNBC103_.OSCHP,0.216852,32.321061,0.111265,Pass,No,NA,NA,1985,2251,0.0236776
FUSCCTNBC104_.OSCHP,0.263844,34.689024,0.135921,Pass,No,NA,NA,2749,2624,0.0174609
FUSCCTNBC105_.OSCHP,0.240773,32.290722,0.117177,Pass,No,45,3,1843,2393,0.0249593
FUSCCTNBC106_.OSCHP,0.237589,38.661566,0.0878649,Pass,No,NA,NA,2757,2824,0.0174102
FUSCCTNBC107.WBC_.OSCHP,0.275941,24.758661,0.183584,Pass,No,homogeneous,2,1621,1789,0.0283775
