sample_id,patient_id,tissue_type,fastqscreen_id,Human,rRNA,ERCC,Mouse,EColi,Virus,Yeast,Vector,Mitoch,Multiple Genomes,No hits,fastqc_id,GC_fastqc,dup_fastqc,avg_sequence_length,total_reads_fastq_M,qualimap_bamqc_id,avg_gc,median_insert_size,qualimap_RNAseq_qc_id,mean_coverage,percentage_aligned,mapped_reads,total_reads_bam,general_error_rate,5_3_bias,reads_aligned,genomic_origin_id,Exonic,Intronic,Intergenic
FUSCCTNBC001_TT,FUSCCTNBC001,tumor,FUSCCTNBC001_R1_screen,60562,528,68,18,1,0,0,0,0,38423,400,FUSCCTNBC001_R1,49,47.60854313,133.7167038,38.589858,FUSCCTNBC001.percent_bamqc,55.62558485,208,FUSCCTNBC001.percent,16.0193,99.2238121,15561456,15683187,0.01,1.03,3749429,FUSCCTNBC001.percent,2717419,2721798,243965
FUSCCTNBC001_TT,FUSCCTNBC001,tumor,FUSCCTNBC001_R2_screen,60769,538,68,61,1,0,1,0,0,37822,740,FUSCCTNBC001_R2,50,53.00828247,133.717407,38.589858,FUSCCTNBC001.percent_bamqc,55.62558485,208,FUSCCTNBC001.percent,16.0193,99.2238121,15561456,15683187,0.01,1.03,3749429,FUSCCTNBC001.percent,2717419,2721798,243965
FUSCCTNBC003_PT,FUSCCTNBC003,normal,FUSCCTNBC003_PT_R1_screen,68353,725,477,44,184,2,0,0,0,28305,1910,FUSCCTNBC003_PT_R1,47,60.58814812,141.6528048,30.740922,FUSCCTNBC003.percent_bamqc,53.55279856,241,FUSCCTNBC003.percent,4.0023,98.38419264,6256909,6359669,0.01,1.05,1919834,FUSCCTNBC003.percent,1344567,1687134,157828
FUSCCTNBC003_PT,FUSCCTNBC003,normal,FUSCCTNBC003_PT_R2_screen,68186,680,475,49,142,34,0,0,0,28385,2049,FUSCCTNBC003_PT_R2,48,63.01548972,141.6515967,30.740922,FUSCCTNBC003.percent_bamqc,53.55279856,241,FUSCCTNBC003.percent,4.0023,98.38419264,6256909,6359669,0.01,1.05,1919834,FUSCCTNBC003.percent,1344567,1687134,157828
FUSCCTNBC003_TT,FUSCCTNBC003,tumor,FUSCCTNBC003_R1_screen,69198,301,930,10,23,0,0,0,0,28608,930,FUSCCTNBC003_R1,47,61.50516347,145.5194096,20.020888,FUSCCTNBC003_PT.percent_bamqc,55.15495165,227,FUSCCTNBC003_PT.percent,7.7275,97.95286844,11071073,11302449,0.01,1,2906423,FUSCCTNBC003_PT.percent,1715420,2771843,264723
FUSCCTNBC003_TT,FUSCCTNBC003,tumor,FUSCCTNBC003_R2_screen,69232,290,933,16,10,30,0,0,0,28379,1110,FUSCCTNBC003_R2,47,63.44079176,145.5148317,20.020888,FUSCCTNBC003_PT.percent_bamqc,55.15495165,227,FUSCCTNBC003_PT.percent,7.7275,97.95286844,11071073,11302449,0.01,1,2906423,FUSCCTNBC003_PT.percent,1715420,2771843,264723
FUSCCTNBC004_TT,FUSCCTNBC004,tumor,FUSCCTNBC004_R1_screen,52909,2436,392,21,0,0,1,0,0,42661,1580,FUSCCTNBC004_R1,52,44.82030316,133.3543363,30.124758,FUSCCTNBC004.percent_bamqc,59.71184193,215,FUSCCTNBC004.percent,12.3038,99.34236846,16838298,16949765,0.01,1.02,2933379,FUSCCTNBC004.percent,1743146,1884945,267582
FUSCCTNBC004_TT,FUSCCTNBC004,tumor,FUSCCTNBC004_R2_screen,52933,2349,390,80,1,0,0,0,0,42117,2130,FUSCCTNBC004_R2,52,47.56363955,133.3569427,30.124758,FUSCCTNBC004.percent_bamqc,59.71184193,215,FUSCCTNBC004.percent,12.3038,99.34236846,16838298,16949765,0.01,1.02,2933379,FUSCCTNBC004.percent,1743146,1884945,267582
FUSCCTNBC005_PT,FUSCCTNBC005,normal,FUSCCTNBC005_PT_R1_screen,72597,1028,880,12,1,0,0,0,0,25052,430,FUSCCTNBC005_PT_R1,48,64.41591472,139.1547528,23.026539,FUSCCTNBC005.percent_bamqc,56.56947946,224,FUSCCTNBC005.percent,16.2057,99.40295773,26039733,26196135,0.01,1.05,4597516,FUSCCTNBC005.percent,2318370,3355197,473743
FUSCCTNBC005_PT,FUSCCTNBC005,normal,FUSCCTNBC005_PT_R2_screen,72373,980,882,10,1,0,0,0,0,25294,460,FUSCCTNBC005_PT_R2,48,68.21466861,139.1545833,23.026539,FUSCCTNBC005.percent_bamqc,56.56947946,224,FUSCCTNBC005.percent,16.2057,99.40295773,26039733,26196135,0.01,1.05,4597516,FUSCCTNBC005.percent,2318370,3355197,473743
FUSCCTNBC005_TT,FUSCCTNBC005,tumor,FUSCCTNBC005_R1_screen,56277,333,115,11,1,0,0,0,0,42943,320,FUSCCTNBC005_R1,49,43.48120651,138.3656272,47.276013,FUSCCTNBC005_PT.percent_bamqc,56.23760902,221,FUSCCTNBC005_PT.percent,3.861,98.69769429,8466153,8577863,0.02,1.05,2218287,FUSCCTNBC005_PT.percent,1214751,2287629,230534
FUSCCTNBC005_TT,FUSCCTNBC005,tumor,FUSCCTNBC005_R2_screen,56051,323,116,22,1,0,0,0,0,43147,340,FUSCCTNBC005_R2,50,48.31142688,138.3664053,47.276013,FUSCCTNBC005_PT.percent_bamqc,56.23760902,221,FUSCCTNBC005_PT.percent,3.861,98.69769429,8466153,8577863,0.02,1.05,2218287,FUSCCTNBC005_PT.percent,1214751,2287629,230534
FUSCCTNBC006_TT,FUSCCTNBC006,tumor,FUSCCTNBC006_rep_R1_screen,32761,1254,134,62,6,0,1,0,0,64182,1600,FUSCCTNBC006_rep_R1,55,24.98902895,145.3337509,43.074335,FUSCCTNBC006_rep.percent_bamqc,60.52162194,214,FUSCCTNBC006_rep.percent,29.5969,99.61960802,27153201,27256884,0.01,1.1,4202467,FUSCCTNBC006_rep.percent,1526627,1698252,370746
FUSCCTNBC006_TT,FUSCCTNBC006,tumor,FUSCCTNBC006_rep_R2_screen,33124,1201,134,52,3,0,1,0,0,63785,1700,FUSCCTNBC006_rep_R2,56,26.63235848,145.3355721,43.074335,FUSCCTNBC006_rep.percent_bamqc,60.52162194,214,FUSCCTNBC006_rep.percent,29.5969,99.61960802,27153201,27256884,0.01,1.1,4202467,FUSCCTNBC006_rep.percent,1526627,1698252,370746
FUSCCTNBC007_TT,FUSCCTNBC007,tumor,FUSCCTNBC007_R1_screen,64055,1853,284,23,2,0,0,0,0,33053,730,FUSCCTNBC007_R1,51,44.08712041,136.3611001,32.931367,FUSCCTNBC007.percent_bamqc,60.91508465,203,FUSCCTNBC007.percent,6.5222,99.11094593,13045953,13162979,0.01,1.07,3209714,FUSCCTNBC007.percent,2516565,2284881,302385
FUSCCTNBC007_TT,FUSCCTNBC007,tumor,FUSCCTNBC007_R2_screen,63976,2483,287,63,2,0,0,0,0,32020,1169,FUSCCTNBC007_R2,51,49.16769308,136.3700299,32.931367,FUSCCTNBC007.percent_bamqc,60.91508465,203,FUSCCTNBC007.percent,6.5222,99.11094593,13045953,13162979,0.01,1.07,3209714,FUSCCTNBC007.percent,2516565,2284881,302385
FUSCCTNBC008_PT,FUSCCTNBC008,normal,FUSCCTNBC008_PT_rep_R1_screen,78032,398,208,7,1,0,0,0,0,20894,460,FUSCCTNBC008_PT_rep_R1,45,66.34015782,140.6770465,39.961371,FUSCCTNBC008.percent_bamqc,55.73072155,227,FUSCCTNBC008.percent,9.7503,99.09317585,16889429,17043988,0.01,1.06,3988410,FUSCCTNBC008.percent,2597579,3139072,339301
FUSCCTNBC008_PT,FUSCCTNBC008,normal,FUSCCTNBC008_PT_rep_R2_screen,78103,411,212,10,1,0,0,0,0,20723,540,FUSCCTNBC008_PT_rep_R2,45,71.79511058,140.6768456,39.961371,FUSCCTNBC008.percent_bamqc,55.73072155,227,FUSCCTNBC008.percent,9.7503,99.09317585,16889429,17043988,0.01,1.06,3988410,FUSCCTNBC008.percent,2597579,3139072,339301
FUSCCTNBC008_TT,FUSCCTNBC008,tumor,FUSCCTNBC008_R1_screen,63016,751,364,11,4,0,0,0,0,35375,479,FUSCCTNBC008_R1,49,51.15759678,140.2235052,41.168405,FUSCCTNBC008_PT_rep.percent_bamqc,50.99397219,224,FUSCCTNBC008_PT_rep.percent,4.7875,98.86669654,11209598,11338093,0.01,1.04,3884092,FUSCCTNBC008_PT_rep.percent,2395614,4199063,384376
FUSCCTNBC008_TT,FUSCCTNBC008,tumor,FUSCCTNBC008_R2_screen,62931,720,367,22,4,0,0,0,0,35436,520,FUSCCTNBC008_R2,49,55.2480525,140.2209586,41.168405,FUSCCTNBC008_PT_rep.percent_bamqc,50.99397219,224,FUSCCTNBC008_PT_rep.percent,4.7875,98.86669654,11209598,11338093,0.01,1.04,3884092,FUSCCTNBC008_PT_rep.percent,2395614,4199063,384376
FUSCCTNBC009_TT,FUSCCTNBC009,tumor,FUSCCTNBC009_R1_screen,65849,859,180,19,22,0,0,0,0,32361,710,FUSCCTNBC009_R1,49,50.99139713,135.2391104,40.390461,FUSCCTNBC009.percent_bamqc,55.96212135,215,FUSCCTNBC009.percent,7.7079,99.25704547,14494286,14602778,0.01,1.03,3956738,FUSCCTNBC009.percent,3018322,2973517,250146
FUSCCTNBC009_TT,FUSCCTNBC009,tumor,FUSCCTNBC009_R2_screen,66010,900,177,47,14,0,0,0,0,31683,1169,FUSCCTNBC009_R2,49,55.54665904,135.2413339,40.390461,FUSCCTNBC009.percent_bamqc,55.96212135,215,FUSCCTNBC009.percent,7.7079,99.25704547,14494286,14602778,0.01,1.03,3956738,FUSCCTNBC009.percent,3018322,2973517,250146
