Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000223972	DDX11L1	1	+	11869	14409	0.000000	0.000000	0.000000
ENSG00000227232	WASH7P	1	-	14404	29570	0.060241	5.475247	14.033456
ENSG00000278267	MIR6859-1	1	-	17369	17436	0.000000	0.000000	0.000000
ENSG00000243485	MIR1302-2HG	1	+	29554	31109	0.000000	0.000000	0.000000
ENSG00000284332	MIR1302-2	1	+	30366	30503	0.000000	0.000000	0.000000
ENSG00000241860	AL627309.5	1	-	141474	173862	0.024374	10.549038	27.037949
ENSG00000222623	RNU6-1100P	1	-	157784	157887	0.000000	0.000000	0.000000
ENSG00000241599	AL627309.4	1	+	160446	161525	0.000000	0.000000	0.000000
ENSG00000228463	AP006222.1	1	-	257864	359681	0.000000	0.000000	0.000000
ENSG00000236679	RPL23AP24	1	-	347982	348366	0.000000	0.000000	0.000000
ENSG00000236601	AL732372.1	1	+	358857	366052	0.000000	0.000000	0.000000
ENSG00000237094	AL732372.2	1	-	365389	522928	0.000000	0.000000	0.000000
ENSG00000269732	WBP1LP7	1	+	439870	440232	0.000000	0.000000	0.000000
ENSG00000284733	OR4F29	1	-	450703	451697	0.000000	0.000000	0.000000
ENSG00000233653	CICP7	1	+	487101	489906	0.000000	0.000000	0.000000
ENSG00000250575	AL732372.3	1	-	491225	493241	0.000000	0.000000	0.000000
ENSG00000278757	RF00026	1	-	516376	516479	0.000000	0.000000	0.000000
ENSG00000187634	SAMD11	1	+	923928	944581	0.000000	0.000000	0.000000
ENSG00000188976	NOC2L	1	-	944204	959309	0.000000	0.000000	0.000000
ENSG00000187608	ISG15	1	+	1001138	1014541	0.223870	38.605488	98.948662
ENSG00000231702	AL645608.4	1	-	1008076	1008229	0.000000	0.000000	0.000000
ENSG00000224969	AL645608.2	1	-	1011997	1013193	0.000000	0.000000	0.000000
ENSG00000186827	TNFRSF4	1	-	1211326	1214138	0.175479	16.080000	41.214207
ENSG00000160087	UBE2J2	1	-	1253909	1273885	0.000000	0.000000	0.000000
ENSG00000131591	C1orf159	1	-	1081818	1116361	0.000000	0.000000	0.000000
ENSG00000230021	AL669831.3	1	-	586071	827796	0.000000	0.000000	0.000000
ENSG00000235146	AC114498.1	1	+	587629	594768	0.000000	0.000000	0.000000
ENSG00000225972	MTND1P23	1	+	629062	629433	0.404570	36.770985	94.246696
ENSG00000225630	MTND2P28	1	+	629640	630683	0.717912	65.250343	167.241348
ENSG00000237973	MTCO1P12	1	+	631074	632616	0.916073	83.261009	213.403992
ENSG00000278791	MIR6723	1	-	632325	632413	0.000000	0.000000	0.000000
ENSG00000229344	MTCO2P12	1	+	632757	633438	0.000000	0.000000	0.000000
ENSG00000240409	MTATP8P1	1	+	633535	633741	0.000000	0.000000	0.000000
ENSG00000248527	MTATP6P1	1	+	633696	634376	0.436123	39.638805	101.597130
ENSG00000198744	MTCO3P12	1	+	634376	634922	0.000000	0.000000	0.000000
ENSG00000268663	WBP1LP6	1	+	674842	675265	0.000000	0.000000	0.000000
ENSG00000284662	OR4F16	1	-	685679	686673	0.000000	0.000000	0.000000
ENSG00000229376	CICP3	1	+	722092	724903	0.000000	0.000000	0.000000
ENSG00000228327	AL669831.1	1	-	725885	778626	0.011738	1.066856	2.734428
ENSG00000223181	RNU6-1199P	1	-	758233	758336	0.000000	0.000000	0.000000
ENSG00000229905	AL669831.2	1	+	760911	761989	0.000000	0.000000	0.000000
ENSG00000237491	AL669831.5	1	+	778770	810060	0.000000	0.000000	0.000000
ENSG00000285268	AL669831.7	1	+	781937	782050	0.000000	0.000000	0.000000
ENSG00000230092	AL669831.4	1	-	800879	817712	0.000000	0.000000	0.000000
ENSG00000177757	FAM87B	1	+	817371	819837	0.000000	0.000000	0.000000
ENSG00000228794	LINC01128	1	+	825138	859446	0.000000	0.000000	0.000000
ENSG00000225880	LINC00115	1	-	826206	827522	0.000000	0.000000	0.000000
ENSG00000188157	AGRN	1	+	1020123	1056118	0.081494	19.587772	50.204880
ENSG00000242590	AL645608.6	1	+	1055033	1056116	0.000000	0.000000	0.000000
ENSG00000221978	CCNL2	1	-	1385711	1399328	0.167310	25.979727	66.587921
ENSG00000131584	ACAP3	1	-	1292376	1309609	0.000000	0.000000	0.000000
ENSG00000278073	MIR6726	1	-	1296110	1296170	0.000000	0.000000	0.000000
ENSG00000169972	PUSL1	1	+	1308567	1311677	0.000000	0.000000	0.000000
ENSG00000127054	INTS11	1	-	1311585	1324691	0.119631	33.467804	85.780403
ENSG00000283712	MIR6727	1	-	1312502	1312566	0.000000	0.000000	0.000000
ENSG00000240731	AL139287.1	1	-	1317581	1318689	0.000000	0.000000	0.000000
ENSG00000160075	SSU72	1	-	1541673	1574869	0.130830	99.053253	253.880661
ENSG00000160072	ATAD3B	1	+	1471769	1497848	0.039313	6.362688	16.308031
ENSG00000169962	TAS1R3	1	+	1331314	1335306	0.000000	0.000000	0.000000
ENSG00000107404	DVL1	1	-	1335276	1349350	0.395123	44.547634	114.178810
ENSG00000284372	MIR6808	1	-	1339650	1339708	0.000000	0.000000	0.000000
ENSG00000189409	MMP23B	1	+	1632095	1635263	0.000000	0.000000	0.000000
ENSG00000248333	CDK11B	1	-	1635227	1659012	0.000000	0.000000	0.000000
